index,Vehicle_ID,Frame_ID,Local_X,Local_Y,v_Vel,v_Acc,Lane_ID,Preceding,Following,Location,ego_X,ego_Y,dist_to_ego,dist_to_ego,dx,dy,theta,v_Vel_x,v_Vel_y,v_Acc_x,v_Acc_y,ego_v_Vel_x,ego_v_Vel_y,ego_v_Acc_x,ego_v_Acc_y,v_Vel_x_rel,v_Vel_y_rel,v_Acc_x_rel,v_Acc_y_rel
1921239,8,129,39.973,441.395,35.38,-4.61,4,5,21,us-101,38.88,369.31,72.09328591484784,72.09328591484784,0.07399999999999807,3.494000000000028,1.5496203283487426,0.7491508326962193,35.372067695144295,-0.0976140570584955,-4.608966423816145,0.9284827740808549,42.869946579605575,0.03139692216458114,1.4496600405883413,-0.1793319413846356,-7.497878884461279,-0.12901097922307664,-6.058626464404487
7935299,8,130,40.047,444.889,35.06,-1.55,4,5,21,us-101,38.973,373.604,71.29309013501943,71.29309013501943,0.07500000000000284,3.48599999999999,1.5492850154838655,0.7541284109660432,35.0518885417002,-0.033339961123712694,-1.5496413930301,0.9220514788580815,42.910094629007006,0.02105336554708574,0.9797738289009054,-0.16792306789203826,-7.8582060873068045,-0.054393326670798436,-2.5294152219310053
4712809,8,131,40.122,448.375,34.96,0.09,4,5,21,us-101,39.066,377.932,70.45091472081819,70.45091472081819,0.07500000000000284,3.4950000000000045,1.5493403923975428,0.7500419155844078,34.95195326623201,0.0019308859382893792,0.08997928472428149,1.2948588275787225,42.72038085757946,-0.12603211798613678,-4.1580904157119924,-0.5448169119943147,-7.7684275913474465,0.12796300392442617,4.2480697004362735
16142,8,132,40.197,451.87,34.98,0.25,4,5,21,us-101,39.196,382.221,69.65619284744179,69.65619284744179,0.07499999999999574,3.5020000000000095,1.5493832666375729,0.7489716049378853,34.97198080656851,0.005352855952958014,0.24994268729680186,0.9288195408512715,42.09975527554207,-0.20226253121838422,-9.167769078050839,-0.17984793591338621,-7.127774468973563,0.20761538717134223,9.41771176534764
5904837,8,133,40.272,455.372,34.98,-0.25,4,5,21,us-101,39.288,386.391,68.98801792340464,68.98801792340464,0.07500000000000284,3.4950000000000045,1.5493403923975428,0.750471001348472,34.971948662837406,-0.005363572050803831,-0.2499424575674486,0.46779919072217596,41.22734606929191,-0.10653976233037188,-9.389395575810116,0.28267181062629604,-6.255397406454506,0.10117619027956805,9.139453118242669
4211967,8,134,40.347,458.867,34.96,-0.12,4,5,21,us-101,39.334,390.445,68.42949841259984,68.42949841259984,0.07499999999999574,3.483000000000004,1.5492664929452744,0.7526248437361055,34.951897743106755,-0.0025833804704900646,-0.11997218904956553,0.8617256393722119,40.48082915309973,-0.12535351978025014,-5.888665935089093,-0.10910079563610642,-5.528931409992971,0.12277013930976008,5.768693746039528
5867815,8,135,40.422,462.35,35.08,1.97,4,5,21,us-101,39.419,394.438,67.91940630629809,67.91940630629809,0.07400000000000517,3.4909999999999854,1.5496021361456584,0.743436547220635,35.07212143712234,0.04174942981826257,1.969557560750599,0.8654134611603629,40.0706558411669,-0.042968382926874306,-1.9895360559860809,-0.12197691393972787,-4.998534404044555,0.08471781274513687,3.9590936167366797
5015089,8,136,40.496,465.841,35.51,6.23,4,5,21,us-101,39.505,398.42,67.42828280476968,67.42828280476968,0.03599999999999426,3.5509999999999877,1.5606586847982418,0.35998150123702577,35.508175302580206,0.06315642784304902,6.22967986863066,0.8600160231020607,39.95074432898601,0.0025826307000061883,0.11997220519215018,-0.5000345218650349,-4.442569026405806,0.06057379714304283,6.10970766343851
3786194,8,137,40.532,469.392,36.35,10.79,4,5,21,us-101,39.591,402.415,66.98361001021068,66.98361001021068,0.05700000000000216,3.6920000000000073,1.5553587666970945,0.5611330208943722,36.34566865161325,0.16656465737139686,10.788714298511882,0.8489586509172938,39.9609830861183,0.0057347719726712374,0.2699390901489102,-0.2878256300229216,-3.615314434505045,0.1608298853987256,10.518775208362973
8313392,8,138,40.589,473.084,37.49,11.2,4,5,21,us-101,39.676,406.416,66.67425134937776,66.67425134937776,0.1039999999999992,3.8070000000000164,1.543485021149953,1.0237735641701085,37.47601883457348,0.30584859745812787,11.195823178106775,0.8498080549809267,39.98096955139645,0.0,0.0,0.17396550918918174,-2.504950716822968,0.30584859745812787,11.195823178106775
8258704,8,139,40.693,476.891,38.64,10.76,4,5,21,us-101,39.761,410.415,66.48253304440196,66.48253304440196,0.125,3.9470000000000027,1.5391372857706795,1.2231010033028238,38.62063728028992,0.3405943787665213,10.754608103931664,0.8598012020315509,39.98075589446734,0.0,0.0,0.3632998012712729,-1.3601186141774235,0.3405943787665213,10.754608103931664
4369040,8,140,40.818,480.838,39.47,6.21,4,5,21,us-101,39.847,414.414,66.43109676198343,66.43109676198343,0.08600000000000563,4.0429999999999495,1.5495282009664078,0.8393896424803212,39.46107354125198,0.1320651046314364,6.208595558428548,0.8598012020315331,39.98075589446734,0.0,0.0,-0.020411559551211877,-0.5196823532153658,0.1320651046314364,6.208595558428548
3490073,8,141,40.904,484.881,39.57,-3.38,4,5,21,us-101,39.933,418.413,66.47509206462217,66.47509206462217,0.08499999999999375,3.9810000000000514,1.549448151250057,0.8446831429343488,39.56098343555229,-0.07215135261860245,-3.3792298208786136,0.8498080549809356,39.98096955139645,0.0,0.0,-0.005124912046586827,-0.4199861158441607,-0.07215135261860245,-3.3792298208786136
1008979,8,142,40.989,488.862,38.92,-10.14,4,5,21,us-101,40.018,422.412,66.45709398551826,66.45709398551826,0.08600000000000563,3.815999999999974,1.5482634534799695,0.8769052197844457,38.91011998485118,-0.22846400124908223,-10.13742591588877,0.8598012020315331,39.98075589446734,0.0,0.0,0.017104017752912593,-1.0706359096161648,-0.22846400124908223,-10.13742591588877
